DATE,SPASTT01AUM657N
2015-02-01,7.64676534114649
2015-03-01,0.817859638315224
2015-04-01,0.247623327234888
2015-05-01,-3.34926884139483
2015-06-01,-2.5290723252637
2015-07-01,0.468318082979864
2015-08-01,-3.84640649277868
2015-09-01,-5.5174802889294
2015-10-01,3.17055588161876
2015-11-01,-1.24179076203765
2015-12-01,-0.573632585486554
2016-01-01,-2.90250541770543
2016-02-01,-1.64862963707755
2016-03-01,3.97832673269142
2016-04-01,-0.0396613061555046
2016-05-01,4.66216026899662
2016-06-01,-1.732236294029
2016-07-01,2.93883546194411
2016-08-01,2.14996789973984
2016-09-01,-2.92953017580769
2016-10-01,1.21382485572125
2016-11-01,-1.43440068509571
2016-12-01,4.1428364563771
2017-01-01,2.51660590186552
2017-02-01,0.315404898124694
